feature,importance
home_points_avg_5,0.6
away_max_rest_days_10,0.6
away_opp_goals_avg_5,0.6
away_std_rest_days_10,0.6
away_goals_trend_3_vs_10,0.6
away_goals_avg_5,0.6
away_goal_diff_avg_3,0.6
home_points_sum_3,0.6
away_team_history_goal_9,0.6
home_team_history_goal_6,0.6
away_loss_rate_10,0.6
away_team_history_opponent_goal_10,0.6
away_team_history_opponent_goal_2,0.6
away_team_history_opponent_goal_8,0.6
away_team_history_opponent_goal_9,0.6
match_day,0.6
away_avg_rest_days_3,0.6
home_team_history_opponent_goal_8,0.4
home_team_history_opponent_goal_9,0.4
home_team_history_goal_8,0.4
home_team_history_opponent_goal_7,0.4
home_team_history_opponent_goal_6,0.4
home_team_history_opponent_goal_10,0.4
home_team_history_goal_7,0.4
home_win_rate_10,0.4
away_avg_rest_days_10,0.4
away_history_available_count_coach,0.4
away_opp_goals_avg_10,0.4
away_team_history_is_cup_3,0.4
away_team_history_opponent_goal_7,0.4
home_goals_avg_3,0.4
away_defense_trend_3_vs_10,0.4
away_opp_goals_avg_3,0.4
away_points_trend_3_vs_10,0.4
away_team_history_goal_1,0.4
away_team_history_goal_10,0.4
away_loss_rate_5,0.4
away_goals_avg_3,0.4
away_team_history_opponent_goal_5,0.4
away_points_avg_5,0.4
away_points_sum_3,0.2
away_played_home_rate_3,0.2
away_team_history_is_play_home_10,0.2
away_played_home_rate_5,0.2
away_loss_rate_3,0.2
home_history_available_count_coach,0.2
home_team_history_opponent_goal_5,0.2
home_team_history_opponent_goal_4,0.2
home_team_history_opponent_goal_2,0.2
home_team_history_goal_2,0.2
home_team_history_goal_3,0.2
home_team_history_goal_4,0.2
home_team_history_goal_5,0.2
home_team_history_goal_9,0.2
home_team_history_is_cup_5,0.2
away_team_history_goal_5,0.2
home_team_history_is_cup_8,0.2
away_team_history_goal_7,0.2
home_team_history_goal_1,0.2
away_min_rest_days_10,0.2
away_win_rate_10,0.2
home_win_rate_3,0.2
month_sin,0.2
home_loss_rate_10,0.2
home_loss_rate_5,0.2
match_month,0.2
home_opp_goals_avg_5,0.2
home_draw_rate_10,0.2
home_played_home_rate_10,0.2
home_win_rate_5,0.2
home_cup_match_rate_3,0.2
home_points_avg_3,0.2
away_cup_match_rate_10,0.2
away_draw_rate_10,0.2
away_cup_match_rate_5,0.0
away_team_history_goal_4,0.0
away_relevant_venue_points_avg_10,0.0
match_year,0.0
away_history_available_count_rating,0.0
away_team_history_goal_2,0.0
away_team_history_goal_3,0.0
month_cos,0.0
away_history_available_count_goal,0.0
away_points_when_play_home_avg_10,0.0
away_goals_when_play_home_avg_10,0.0
away_team_history_goal_6,0.0
away_coach_change_flag,0.0
home_team_history_is_play_home_9,0.0
home_team_history_is_play_home_8,0.0
home_team_history_is_play_home_7,0.0
away_coach_missing,0.0
away_points_when_play_away_avg_10,0.0
away_played_home_rate_10,0.0
away_goals_when_play_away_avg_10,0.0
match_is_weekend,0.0
match_dayofweek,0.0
away_draw_rate_5,0.0
away_coach_unique_count_10,0.0
away_has_future_history_flag,0.0
home_team_history_is_play_home_5,0.0
away_cup_match_rate_3,0.0
home_team_history_opponent_goal_3,0.0
away_missing_history_rate_goal,0.0
is_cup_clean,0.0
away_missing_history_rate_rating,0.0
away_draw_rate_3,0.0
away_points_avg_3,0.0
home_team_history_is_play_home_6,0.0
home_team_history_is_cup_4,0.0
home_team_history_is_play_home_4,0.0
home_team_history_is_play_home_3,0.0
away_team_history_is_play_home_9,0.0
away_team_history_opponent_goal_3,0.0
away_team_history_opponent_goal_4,0.0
away_team_history_opponent_goal_6,0.0
away_win_rate_3,0.0
away_win_rate_5,0.0
coach_stability_diff,0.0
home_points_when_play_home_avg_10,0.0
home_points_when_play_away_avg_10,0.0
dow_cos,0.0
dow_sin,0.0
home_coach_change_flag,0.0
home_coach_missing,0.0
home_coach_unique_count_10,0.0
home_played_home_rate_5,0.0
home_played_home_rate_3,0.0
home_cup_match_rate_5,0.0
home_draw_rate_3,0.0
home_draw_rate_5,0.0
home_goals_avg_5,0.0
home_missing_history_rate_rating,0.0
home_missing_history_rate_goal,0.0
home_goals_when_play_away_avg_10,0.0
home_goals_when_play_home_avg_10,0.0
home_loss_rate_3,0.0
home_has_future_history_flag,0.0
home_history_available_count_rating,0.0
home_relevant_venue_points_avg_10,0.0
away_team_history_is_play_home_8,0.0
away_team_history_is_play_home_7,0.0
away_team_history_is_cup_1,0.0
home_team_history_is_play_home_2,0.0
home_team_history_is_play_home_10,0.0
home_team_history_is_play_home_1,0.0
home_team_history_is_cup_9,0.0
home_team_history_is_cup_7,0.0
home_team_history_is_cup_6,0.0
home_history_available_count_goal,0.0
home_team_history_is_cup_3,0.0
home_team_history_is_cup_2,0.0
home_team_history_is_cup_10,0.0
home_team_history_is_cup_1,0.0
away_team_history_goal_8,0.0
away_team_history_is_cup_10,0.0
away_team_history_is_play_home_6,0.0
away_team_history_is_cup_2,0.0
away_team_history_is_cup_4,0.0
away_team_history_is_cup_5,0.0
away_team_history_is_cup_6,0.0
away_team_history_is_cup_7,0.0
away_team_history_is_cup_8,0.0
away_team_history_is_cup_9,0.0
away_team_history_is_play_home_1,0.0
away_team_history_is_play_home_2,0.0
away_team_history_is_play_home_3,0.0
away_team_history_is_play_home_4,0.0
away_team_history_is_play_home_5,0.0
venue_form_diff,0.0
